time,icu_occupied,med_occupied,icu_queue,med_queue,housekeepers_busy
0.229,0,0,0,0,0
2.01,0,1,0,0,0
2.01,0,2,0,0,0
3.383,0,2,0,0,0
4.462,0,3,0,0,0
5.705,0,3,0,1,1
6.393,0,3,0,1,2
7.484,0,3,0,1,2
8.308,1,3,0,0,1
9.524,1,3,0,0,1
10.439,1,3,0,0,1
11.157,2,3,0,1,2
12.327,2,3,0,1,2
14.537,2,3,0,0,1
14.83,2,2,0,0,0
15.418,2,3,0,0,1
16.364,2,3,0,0,2
17.034,2,3,0,0,2
18.274,2,2,0,0,2
19.246,2,1,0,0,2
20.309,1,2,0,0,1
22.277,1,2,0,0,1
23.03,1,2,0,0,2
23.848,1,2,0,0,2
24.215,1,2,0,0,1
25.062,1,2,0,0,0
26.159,1,2,0,0,1
27.197,1,3,0,1,2
28.868,0,3,0,0,1
29.587,0,2,0,0,0
30.389,0,2,0,0,0
32.285,0,3,0,0,2
32.9,0,2,0,0,1
34.221,0,1,0,0,0
35.603,0,1,0,0,0
35.603,0,2,0,0,0
38.154,0,2,0,0,1
38.302,0,2,0,0,2
39.569,0,2,0,0,2
39.569,0,3,0,0,2
40.327,0,2,0,0,0
42.538,1,2,0,0,1
43.792,1,2,0,0,2
44.391,1,2,0,0,2
44.391,2,2,0,0,2
45.914,2,0,0,0,0
46.164,2,0,1,0,0
47.011,2,2,2,0,0
49.116,2,3,3,0,1
49.273,2,3,3,0,2
50.89,2,3,4,0,2
51.16,2,2,4,0,2
52.83,2,2,3,0,2
53.929,2,2,2,0,1
54.342,2,2,2,0,1
55.106,2,2,3,0,2
56.541,2,2,2,0,0
57.44,2,2,2,0,1
58.784,2,2,2,0,2
59.118,2,2,2,0,2
60.814,2,1,2,0,0
61.764,2,2,2,0,1
62.186,2,2,2,0,2
63.098,2,2,2,0,2
65.509,2,1,1,0,2
65.528,2,1,0,0,1
67.525,2,2,0,0,2
67.631,2,1,0,0,1
68.15,2,1,0,0,1
69.013,2,0,1,0,1
70.008,2,0,1,0,1
71.007,2,2,0,0,0
72.926,2,3,0,0,2
73.411,2,3,0,0,2
74.184,1,3,0,0,2
75.879,2,3,0,0,1
76.028,2,3,0,0,2
78.376,2,2,0,0,0
78.699,2,2,0,0,1
79.218,2,2,0,0,2
80.657,2,3,0,0,2
82.045,2,3,0,0,2
82.417,2,2,0,0,2
83.964,1,2,0,0,2
84.362,1,1,0,0,2
85.551,1,1,0,0,1
86.007,1,2,0,0,1
87.733,1,2,0,0,0
88.808,1,3,0,1,1
89.836,1,3,0,1,1
90.072,1,3,0,2,2
91.788,2,3,0,1,2
92.098,2,3,0,1,2
93.786,1,3,0,0,2
94.49,1,2,0,0,2
95.527,0,2,0,0,1
96.19,1,2,0,0,0
97.312,1,3,0,0,1
98.886,2,2,0,0,1
99.549,2,2,0,0,1
100.259,2,2,0,0,2
101.778,1,2,0,0,2
102.339,1,1,0,0,2
103.945,1,0,0,0,1
104.147,0,0,0,0,0
