run_id,arrival_rate,icu_beds,med_beds,cleaners,avg_occupancy_icu,avg_occupancy_med,avg_queue_icu,avg_queue_med,avg_board_icu,avg_board_med,failed_icu,failed_med
run_101,0.7,1,3,1,0.758,2.56,9.65,1.908,32.361562543175225,6.984603686727259,3,0
run_102,0.7,1,3,1,0.842,2.899,4.589,1.36,20.062524492987272,3.760403006274969,1,0
run_103,0.7,1,3,1,0.59,2.508,4.487,3.403,21.130097975612596,11.057558752965724,1,0
run_101,0.7,1,3,2,0.659,1.978,9.18,0.362,26.421497659829782,2.1057307394781475,3,0
run_102,0.7,1,3,2,0.892,1.599,2.91,0.104,25.251727889445775,1.277460599222158,0,0
run_103,0.7,1,3,2,0.947,1.748,2.859,1.113,26.45962995265847,4.1743977723780565,0,0
run_101,0.7,2,2,1,1.907,0.705,3.318,12.305,17.552443998889338,11.989973881333277,0,8
run_102,0.7,2,2,1,1.492,1.404,0.945,8.529,7.154082101077918,14.480064369349979,0,2
run_103,0.7,2,2,1,1.23,1.244,0.481,9.156,7.3902918668615625,12.341229535042498,0,5
run_101,0.7,2,2,2,1.918,1.793,2.742,3.382,14.397789365701948,10.559371788641714,0,0
run_102,0.7,2,2,2,1.284,1.973,0.55,3.492,5.868367039975724,9.987484859008937,0,0
run_103,0.7,2,2,2,1.11,1.543,0.402,5.624,6.016480162572285,10.591158137852508,0,2
run_101,0.7,2,3,1,1.934,1.864,5.005,6.275,29.083812469756996,13.56122863098965,0,3
run_102,0.7,2,3,1,1.555,2.896,1.409,2.984,12.998002960644683,9.63435417021015,0,0
run_103,0.7,2,3,1,1.45,2.362,0.651,4.949,7.414824991974546,11.775508749652351,0,3
run_101,0.7,2,3,2,1.906,2.014,2.599,0.561,13.011045426317242,2.57404649594498,0,0
run_102,0.7,2,3,2,1.304,2.309,0.529,0.159,5.5119931756513,1.5051721161552054,0,0
run_103,0.7,2,3,2,1.179,2.228,0.453,1.252,6.231263727312371,3.7246418700979995,0,0
