time,icu_occupied,med_occupied,icu_queue,med_queue,housekeepers_busy
2.04,0,0,0,0,0
2.04,1,0,0,0,0
2.545,1,0,0,0,0
5.731,1,1,0,0,1
7.0,1,1,0,0,1
7.0,1,1,1,0,1
7.06,1,1,1,0,1
7.06,1,1,2,0,1
8.082,1,0,3,0,1
11.134,1,0,3,0,0
12.004,1,0,3,0,0
12.004,1,0,4,0,0
14.4,1,0,4,0,0
14.4,1,1,4,0,0
18.307,1,1,4,0,1
20.007,1,0,4,0,0
20.242,1,0,4,0,1
20.703,1,0,4,0,1
20.703,1,1,4,0,1
20.906,1,1,4,0,1
20.906,1,2,4,0,1
22.27,1,2,3,0,0
22.777,1,2,3,0,1
24.183,1,1,3,0,0
24.198,1,1,3,0,0
25.838,1,1,3,0,0
26.78,1,1,3,0,1
27.003,1,1,3,0,2
28.593,1,0,3,0,1
29.15,1,0,2,0,0
31.43,1,0,2,0,0
31.43,1,1,2,0,0
33.604,1,1,2,0,1
33.66,1,1,2,0,2
34.967,1,1,2,0,2
35.788,1,2,1,0,1
36.69,1,1,1,0,0
37.207,1,2,1,0,0
38.355,1,2,3,0,1
39.756,1,2,3,0,2
40.227,1,2,3,0,1
42.315,1,1,4,0,0
42.315,1,2,4,0,0
44.48,1,1,4,0,1
44.927,1,1,4,0,1
45.087,1,1,5,0,2
47.148,1,0,4,0,0
49.849,1,0,4,0,1
51.592,1,0,3,0,0
54.044,1,0,3,0,0
54.044,1,1,3,0,0
55.576,1,1,3,0,1
56.352,1,1,3,0,1
56.352,1,2,3,0,1
56.873,1,2,3,0,1
56.873,1,2,4,0,1
57.08,1,2,3,0,0
57.496,1,2,3,0,0
58.581,1,2,4,0,2
59.449,1,1,4,0,1
60.372,1,0,4,0,0
61.677,1,0,4,0,0
62.258,1,1,4,0,1
63.299,1,2,4,0,1
64.71,1,2,4,1,1
65.359,1,2,5,1,2
66.353,1,2,5,1,2
67.272,1,2,6,0,0
68.321,1,2,7,0,1
69.982,1,2,7,0,2
71.056,1,2,6,0,1
71.188,1,2,6,0,2
72.077,1,1,6,0,1
74.301,1,0,6,0,1
76.393,1,0,5,0,0
78.787,1,0,5,0,0
78.787,1,1,5,0,0
81.752,1,1,5,0,1
82.454,1,1,5,0,2
82.73,1,1,5,0,2
82.73,1,1,6,0,2
84.15,1,0,6,0,1
84.457,1,0,5,0,0
85.02,1,0,5,0,0
85.02,1,1,5,0,0
87.069,1,1,5,0,0
87.069,1,1,6,0,0
87.402,1,1,6,0,1
88.278,1,1,6,0,1
89.461,1,2,6,0,0
91.112,1,2,6,0,1
92.71,1,2,6,0,2
93.265,1,2,6,0,2
93.765,1,2,6,0,2
94.634,1,2,5,0,1
95.486,1,1,5,0,0
97.951,1,2,5,0,1
98.334,1,2,5,0,2
98.677,1,2,5,0,2
100.161,1,2,4,1,1
100.638,1,2,4,0,0
101.069,1,2,4,0,1
102.151,1,2,4,0,2
103.13,1,1,4,0,2
105.226,1,0,3,0,0
109.472,1,0,3,0,1
111.739,1,0,2,0,0
118.065,1,0,2,0,1
119.561,1,0,1,0,0
124.159,1,0,1,0,1
126.289,1,0,0,0,0
129.358,1,0,0,0,1
131.749,0,0,0,0,0
